ћарка;—сылка;÷ена в доллорах;÷ена в гривн€х;√ород
Jaguar I-Pace EV400 90kWh AWD 2019;https://auto.ria.com/newauto/auto-jaguar-i-pace-1821966.html;83 821 $;2 047 000 грн;ƒнепр (ƒнепропетровск)
Jaguar F-Type 2.0 T AT (300 л.с.) 2019;https://auto.ria.com/newauto/auto-jaguar-f-type-1822873.html;81 855 $;1 999 000 грн;ƒнепр (ƒнепропетровск)
Jaguar F-Pace 2.0D AT (180 л.с.) AWD 2019;https://auto.ria.com/newauto/auto-jaguar-f-pace-1821657.html;61 600 $;1 514 700 грн;„убинское
Jaguar I-Pace EV400 90kWh AWD 2019;https://auto.ria.com/newauto/auto-jaguar-i-pace-1826231.html;91 071 $;2 322 320 грн;ќдесса
Jaguar E-Pace 2.0D AT (150 л.с.) AWD 2019;https://auto.ria.com/newauto/auto-jaguar-e-pace-1821762.html;44 361 $;1 090 800 грн;„убинское
Jaguar XE 2.0D AT (180 л.с.) RWD 2019;https://auto.ria.com/newauto/auto-jaguar-xe-1822871.html;49 097 $;1 199 000 грн;ƒнепр (ƒнепропетровск)
Jaguar I-Pace EV400 90kWh AWD 2019;https://auto.ria.com/newauto/auto-jaguar-i-pace-1821763.html;83 253 $;2 047 140 грн;„убинское
Jaguar F-Pace 2.0D AT (180 л.с.) AWD 2019;https://auto.ria.com/newauto/auto-jaguar-f-pace-1822862.html;62 149 $;1 870 630 грн;ƒнепр (ƒнепропетровск)
Jaguar F-Type 2.0 T AT (300 л.с.) 2019;https://auto.ria.com/newauto/auto-jaguar-f-type-1824183.html;84 204 $;2 070 522 грн;„убинское
Jaguar E-Pace 2.0D AT (150 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1826879.html;44 097 $;1 327 288 грн;ƒнепр (ƒнепропетровск)
Jaguar E-Pace 2.0D AT (150 л.с.) AWD 2019;https://auto.ria.com/newauto/auto-jaguar-e-pace-1826682.html;48 841 $;1 245 440 грн;ќдесса
Jaguar F-Pace 2.0D AT (180 л.с.) AWD 2019;https://auto.ria.com/newauto/auto-jaguar-f-pace-1826235.html;50 663 $;1 291 920 грн;ќдесса
Jaguar F-Pace 2.0D AT (180 л.с.) AWD 2019;https://auto.ria.com/newauto/auto-jaguar-f-pace-1826878.html;59 030 $;1 505 280 грн;ќдесса
Jaguar F-Pace 2.0D AT (180 л.с.) AWD 2019;https://auto.ria.com/newauto/auto-jaguar-f-pace-1826233.html;57 273 $;1 460 480 грн;ќдесса
